ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764309188.6969297,camera,AWAKE_IN_ROOM,0.8
1764309190.7578132,window,23.31,49.0,23.0,49.4
1764309198.7387571,camera,AWAKE_IN_ROOM,0.8
1764309200.7612681,window,23.3,49.03,23.0,49.4
1764309208.7790866,camera,AWAKE_IN_ROOM,0.8
1764309210.769244,window,23.3,49.04,23.0,49.3
1764309218.8715572,camera,AWAKE_IN_ROOM,0.8
1764309220.7757194,window,23.3,49.03,23.0,49.2
1764309228.9247456,camera,AWAKE_IN_ROOM,0.8
1764309230.7779431,window,23.3,49.04,23.0,49.2
1764309238.9447129,camera,AWAKE_IN_ROOM,0.8
1764309240.7842429,window,23.3,49.05,23.0,49.2
1764309249.0058353,camera,AWAKE_IN_ROOM,0.8
1764309250.807314,window,23.3,49.04,23.0,49.2
1764309259.0065198,camera,AWAKE_IN_ROOM,0.8
1764309260.7987354,window,23.3,49.05,23.0,49.2
1764309269.0977876,camera,AWAKE_IN_ROOM,0.8
1764309270.8045285,window,23.3,49.04,23.0,49.1
1764309279.1656675,camera,AWAKE_IN_ROOM,0.8
1764309280.8088694,window,23.3,49.02,23.0,48.9
1764309289.1840224,camera,AWAKE_IN_ROOM,0.8
1764309290.8160825,window,23.3,48.99,23.0,48.8
1764309299.2557604,camera,AWAKE_IN_ROOM,0.8
1764309300.8201625,window,23.3,48.96,23.0,48.8
1764309309.3186085,camera,AWAKE_IN_ROOM,0.8
1764309310.8237352,window,23.3,48.94,23.0,49.0
1764309319.3370926,camera,AWAKE_IN_ROOM,0.8
1764309320.8284278,window,23.3,48.92,23.0,49.0
1764309329.3466825,camera,AWAKE_IN_ROOM,0.8
1764309330.834631,window,23.3,48.9,23.0,49.0
1764309339.3518188,camera,AWAKE_IN_ROOM,0.8
1764309340.8393662,window,23.3,48.89,23.0,49.0
1764309349.4269323,camera,AWAKE_IN_ROOM,0.8
1764309350.8459911,window,23.3,48.89,23.0,49.0
1764309359.5072377,camera,AWAKE_IN_ROOM,0.8
1764309360.8505652,window,23.3,48.88,23.0,49.0
1764309369.5890117,camera,AWAKE_IN_ROOM,0.8
1764309370.8510664,window,23.3,48.86,23.0,49.0
1764309379.6504474,camera,AWAKE_IN_ROOM,0.8
1764309380.8569503,window,23.3,48.86,23.0,48.9
1764309389.73848,camera,AWAKE_IN_ROOM,0.8
1764309390.8623397,window,23.3,48.86,23.0,49.1
1764309399.8279529,camera,AWAKE_IN_ROOM,0.8
1764309400.8675005,window,23.3,48.88,23.0,49.2
1764309409.9009264,camera,AWAKE_IN_ROOM,0.8
1764309410.8693924,window,23.3,48.9,23.0,49.2
1764309419.9875045,camera,AWAKE_IN_ROOM,0.8
1764309420.88569,window,23.3,48.93,23.0,49.3
1764309430.0247314,camera,AWAKE_IN_ROOM,0.8
1764309430.885854,window,23.3,48.95,23.0,49.3
1764309440.0473034,camera,AWAKE_IN_ROOM,0.8
1764309440.8912728,window,23.3,48.96,23.0,49.2
1764309450.0959718,camera,AWAKE_IN_ROOM,0.8
1764309450.8954227,window,23.31,48.97,23.0,49.1
1764309460.1461563,camera,AWAKE_IN_ROOM,0.8
1764309460.9039621,window,23.31,48.99,23.0,49.1
1764309470.2260487,camera,AWAKE_IN_ROOM,0.8
1764309470.9105675,window,23.32,49.06,23.0,49.6
1764309480.2981954,camera,AWAKE_IN_ROOM,0.8
1764309480.9156868,window,23.33,49.11,23.1,49.5
1764309490.322939,camera,AWAKE_IN_ROOM,0.8
1764309490.9204748,window,23.34,49.14,23.1,49.4
1764309500.4093232,camera,AWAKE_IN_ROOM,0.8
1764309500.928565,window,23.35,49.18,23.1,49.4
1764309510.4159644,camera,AWAKE_IN_ROOM,0.8
1764309510.9395914,window,23.36,49.21,23.1,49.4
1764309520.4855685,camera,AWAKE_IN_ROOM,0.8
1764309520.9448287,window,23.36,49.22,23.1,49.5
1764309530.49165,camera,AWAKE_IN_ROOM,0.8
1764309530.951417,window,23.37,49.2,23.1,49.2
1764309540.5013454,camera,AWAKE_IN_ROOM,0.8
1764309540.9542265,window,23.37,49.19,23.1,49.3
1764309550.55143,camera,AWAKE_IN_ROOM,0.8
1764309550.9570973,window,23.38,49.16,23.1,49.0
1764309560.5903156,camera,AWAKE_IN_ROOM,0.8
1764309560.962204,window,23.38,49.11,23.1,48.9
1764309570.635983,camera,AWAKE_IN_ROOM,0.8
1764309570.9707909,window,23.38,49.08,23.1,49.1
1764309580.659023,camera,AWAKE_IN_ROOM,0.8
1764309580.9757411,window,23.38,49.04,23.1,48.9
1764309590.7432504,camera,AWAKE_IN_ROOM,0.8
1764309590.9796412,window,23.39,49.0,23.1,48.9
1764309600.7937307,camera,AWAKE_IN_ROOM,0.8
1764309600.9843383,window,23.39,48.99,23.1,49.0
1764309610.8189507,camera,AWAKE_IN_ROOM,0.8
1764309610.9912972,window,23.39,48.98,23.2,49.0
1764309620.8195236,camera,AWAKE_IN_ROOM,0.8
1764309620.9946098,window,23.39,48.95,23.1,48.9
1764309630.8282778,camera,AWAKE_IN_ROOM,0.8
1764309631.000572,window,23.39,48.91,23.1,48.8
1764309640.8960333,camera,AWAKE_IN_ROOM,0.8
1764309641.0048475,window,23.39,48.87,23.1,48.8
1764309650.9820125,camera,AWAKE_IN_ROOM,0.8
1764309651.0113492,window,23.39,48.84,23.1,48.9
1764309661.0188289,window,23.39,48.82,23.1,49.0
1764309661.0613678,camera,AWAKE_IN_ROOM,0.8
1764309671.0230427,window,23.41,48.82,23.1,48.9
1764309671.1318638,camera,AWAKE_IN_ROOM,0.8
1764309681.0278912,window,23.42,48.83,23.2,49.0
1764309681.134981,camera,AWAKE_IN_ROOM,0.8
1764309691.037736,window,23.43,48.84,23.1,49.1
